Index,CTA,ECTA,ETF,EETF,ETF Sample,EETF Sample,LC CTA,ELC CTA,LC ETF,ELC ETF,LC ETF Sample,ELC ETF Sample,CTA and ETF,LC CTA and ETF,SP500
7/1/2017,-0.0063382,0.007316667,0.008777723,0.005439485,0.014137637,0.007685921,-0.0095262,0.003425,0.009362736,0.013255247,0.005578214,0.016628039,0.007102858,0.006259445,0.000546284
8/1/2017,-0.0042719,-0.011366667,0.010151525,0.012343252,0.007810498,0.012657528,-0.0020863,-0.007175,0.001741913,-0.006452364,0.012725401,0.002179382,0.006733865,0.002229961,0.019119039
9/1/2017,0.0132527,0.027125,0.015390556,0.009875166,0.027254786,0.013744629,0.0123571,0.0192625,0.009307196,0.007740814,0.030101736,0.016387019,0.026105903,0.02127966,0.02194556
10/1/2017,-0.0092575,-0.000425,0.015435844,0.011790458,0.021178782,0.017484251,-0.0067321,-0.003175,0.003744413,0.000277587,0.027345756,0.01076019,0.013293938,0.008225684,0.003713141
11/1/2017,-0.0023258,0.000425,0.011443286,0.010568197,0.004208633,0.013739894,-0.0034565,-0.0032125,0.009615763,0.004170489,-0.006490457,0.010403778,-0.001323641,-0.01373231,0.033766015
12/1/2017,-0.0069617,0.0352,0.029636285,0.028752513,0.042131478,0.03761169,-0.0008272,0.0282,0.008045481,0.011764684,0.018256847,0.021467931,0.033384594,0.019099063,0.054657399
1/1/2018,-0.0229211,-0.035783333,-0.030380231,-0.032370803,-0.033465811,-0.047772841,-0.0230243,-0.018175,-0.018009967,-0.008327436,-0.045327213,-0.045467791,-0.038855533,-0.034587958,-0.039726108
2/1/2018,0.0060845,0.000733333,-0.00885803,-0.009772245,-0.018698758,-0.008414098,0.005013,0,-0.007961703,-0.036527348,-0.015261775,-0.00931558,-0.008312329,0.000718431,-0.027252497
3/1/2018,0.0083826,0.004866667,-0.001573995,0.001454926,-0.001645383,0.012385625,0.0085932,0.0081125,-0.006003584,-0.012562916,-0.000718187,0.0099542,0.004724683,0.008571334,0.002715086
4/1/2018,-0.0089832,-0.015041667,0.011622237,0.01709013,0.02262705,0.008677239,-0.0133422,-0.0136875,-0.012807864,0.032651098,-0.00065424,0.003853486,0.010695459,-0.004054414,0.021378191
5/1/2018,0.0119789,0.010108333,-0.001273611,-0.003004659,-0.000300948,-0.003671788,0.0128601,0.008175,-0.01284752,-0.006042144,0.003594859,-0.015961441,0.005736374,0.008626974,0.004830749
6/1/2018,0.0031204,-0.002425,0.019801362,0.016305274,0.01762244,0.011785815,0.0024556,0.0018875,0.014249263,0.009815951,0.031331083,8.30E-05,0.013189284,0.008619889,0.035387951
7/1/2018,-0.0127772,0.002808333,0.013385824,0.004838523,0.02588071,0.003341342,-0.0096045,-0.0073375,-0.001429792,-0.004350542,0.013640239,0.001125616,0.011560273,0.00368506,0.029814315
8/1/2018,0.0091573,0.000641667,-0.004266447,-0.001091037,-0.004109243,0.009328951,0.0078428,0.0044875,-0.005237243,-0.002523038,-0.0034989,0.016554656,0.003125136,0.001667339,0.004285093
9/1/2018,-0.0142056,-0.022466667,-0.053652931,-0.052761386,-0.056480923,-0.057649734,-0.0179264,-0.013225,-0.023198124,-0.01821759,-0.027783192,-0.027951901,-0.049494325,-0.030461206,-0.071929346
10/1/2018,0.003664,0.001175,0.014208332,0.009898182,0.021573833,0.022370979,0.0052177,0.0082375,0.003683288,0.008899175,0.026014896,0.040081773,0.020271694,0.023552559,0.017701752
11/1/2018,-0.0093217,0.005533333,-0.058454954,-0.052356724,-0.070270125,-0.070158843,-0.0091831,-0.000275,-0.026200493,-0.017765742,-0.062904109,-0.066061033,-0.049572354,-0.04171653,-0.09626522
12/1/2018,-0.0016362,-0.004091667,0.066066507,0.059793678,0.066970059,0.07455481,-0.0053302,-0.002725,0.044560859,0.029112483,0.0484263,0.05768428,0.044214482,0.038029639,0.075742152
,0.011211126,0.015033389,0.025001815,0.023025805,0.03047115,0.029086855,0.011333383,0.011481844,0.017132388,0.013707609,0.030106138,0.02693376,0.023761263,0.019673655,0.034348888
